StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Age,User,Gender,Gender_4_TEXT,Tutorial_2_1,Tutorial_4_1,Tutorial_6_1,Tutorial_8_1,Tutorial_10_1,Tutorial_12_1,commit_e_1,commit_p_1,commit_a_1,developer_e_1,developer_p_1,developer_a_1,pull-request_b_e_1,pull-request_b_p_1,pull-request_b_a_1,acc_pull-request_e_1,acc_pull-request_p_1,acc_pull-request_a_1,rej_pull-request_e_1,rej_pull-request_p_1,rej_pull-request_a_1,rev_pull-request_e_1,rev_pull-request_p_1,rev_pull-request_a_1,create_issue_e_1,create_issue_p_1,create_issue_a_1,make_issue_comment_e_1,make_issue_comment_p_1,make_issue_comment_a_1,close_issue_e_1,close_issue_p_1,close_issue_a_1,issue_e_1,issue_p_1,issue_a_1,maintainer_e_1,maintainer_p_1,maintainer_a_1,owner_e_1,owner_p_1,owner_a_1,core developer_e_1,core developer_p_1,core developer_a_1,reviewer_e_1,reviewer_p_1,reviewer_a_1,user_e_1,user_p_1,user_a_1,novice_developer_e_1,novice_developer_p_1,novice_developer_a_1,exp_developer_e_1,exp_developer_p_1,exp_developer_a_1,ft_contributor_e_1,ft_contributor_p_1,ft_contributor_a_1,QC_e_1,QC_p_1,QC_a_1,GitHub_Profile,GitHub_Usage,Project_Size,Open Source,Dev_Experience,Dev_Experience_6_TEXT,Languages,Languages_21_TEXT,opp,PID,psid,K2,med,pid,rid,RISN,V,Q_TotalDuration,rnid,gc,term
2/22/19 10:50,2/22/19 10:56,Survey Preview,,100,355,TRUE,2/22/19 10:56,R_3ERc21jCHjYzyMU,,,,,52.53070068,13.33720398,preview,EN,Yes,39,Yes,Male,,2.3,0,0,3,2.1,-1.5,2.2,1.9,0.5,1.5,1.6,1.3,1.2,0.4,0.6,2.2,3.3,0.8,-1,2.7,0.9,1.4,1.2,-0.6,0.7,-1,0.5,-0.3,-0.6,2.4,0.4,2.6,0.7,-1.5,-0.7,0.7,2,2.3,-1.1,1.4,1.4,-0.6,1.5,2.4,1.2,2.2,1,1,0.5,-0.8,1.2,-0.7,-1.5,1.7,2.8,2.4,1.3,1,-1.6,1.1,4,-4,4,One to five years ago,Once a month,Projects involving 1-4 other collaborators ,Sometimes,Involved through research/academia ,,"Java,R,9",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,355,,4,Speeder
2/22/19 11:09,2/22/19 11:21,IP Address,129.170.194.202,100,718,TRUE,2/22/19 11:21,R_801GGmmDX9feJcB,,,,,43.70449829,-72.28500366,anonymous,EN,Yes,65,Yes,Other,,1.4,-1.1,0,2.9,-1.1,-2.1,1,0,-0.9,1.6,1.4,1.9,1.7,-0.9,0.7,1.9,2.8,4,-2.2,2.9,1.5,1.5,1.6,-2.1,2.1,1.8,1.5,0,0.5,-1.3,1.3,1.3,-1.7,-1.1,1.1,0.9,0.8,0.7,1.8,1.8,2.8,2.9,1.4,1.1,-1.8,1.1,0.5,-1,1,-1.2,-0.6,1,-1.2,1.7,0.9,2.4,1.3,-0.1,-0.8,1.5,4,-4,4,One to six months ago,Once a week,Projects involving 10-49 other collaborators,Sometimes,"Employed working on coding for a company,Pursue other freelance coding ,Pursue coding as a hobby ",,"C,R",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,718,,1,
3/1/19 10:50,3/1/19 10:57,Survey Preview,,100,458,TRUE,3/1/19 10:57,R_2QrMTZkbZTIpDSy,,,,,52.53070068,13.33720398,preview,EN,Yes,40,Yes,Male,,1.7,0.1,0,1.8,0.9,-1.6,1.1,1.5,0.5,0.7,0.7,1.2,1.3,0.8,-0.6,2.2,3,-0.7,-0.6,2.3,0.8,1.2,2,-1.3,-1,1.4,2.6,0.7,-0.6,1.8,1.1,3.1,0.7,-0.8,-0.6,1.1,1.8,2.5,1.1,1.1,2.7,0.7,1.7,1.1,1.1,1.4,1.6,-0.5,1.9,1.5,1,0.6,-1.7,1.2,1.9,1.7,0.4,0.7,-1.8,-0.5,4,-4,4,One to five years ago,Once a month,Projects involving 1-4 other collaborators ,Sometimes,Involved through research/academia ,,"Java,R",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,458,,4,Speeder
3/5/19 4:39,3/5/19 4:47,IP Address,91.7.55.188,100,498,TRUE,3/5/19 4:47,R_325WDGs01y3Bb6z,,,,,52.37440491,13.01019287,anonymous,EN,Yes,33,Yes,Female,,3,-2,0,0.7,0.9,-1.6,1.4,0.7,-1.8,1.8,-1.5,-1.3,-0.9,-2.1,0.3,0.6,2.4,0.4,0.7,-0.8,0.8,1.1,1.4,1.6,-1.9,-1.8,0.3,-1.3,1.1,0.9,2.7,0.2,0.5,-3,0.5,0.7,-1.3,-0.8,-0.9,0.9,0.2,0.8,1,3.1,0.4,-0.9,0.8,-0.9,0.3,-0.9,-1,-1.9,0,-1,-0.6,2.9,0.8,-2.7,-0.9,3.4,4,-4,4,Less than one month ago,Less than once a month,Projects involving 1-4 other collaborators ,Never,Employed working on coding for a company,,HTML,,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,498,,4,Speeder
3/7/19 10:15,3/7/19 10:27,IP Address,194.94.234.20,100,747,TRUE,3/7/19 10:27,R_encYPIVhXPxm5Fv,,,,,52.56790161,13.37139893,anonymous,EN,Yes,31,Yes,Male,,1.3,1,1.4,1.5,-1,-1.3,1,1,1,0.9,0.8,1,1.9,1.3,1.3,2.1,2.3,1.2,-1.9,1.8,1.3,2,2.9,1.6,1,1.1,1.5,1.1,0,1,0.8,0.9,1.1,0.1,0.1,0.7,2,3.1,1.8,1,2.9,1.8,2.1,1.8,1.8,0.3,2.4,0.9,0.1,0,0.1,1.1,-1,0.5,2.3,2,1.7,1.3,-0.7,0.9,4,-4,4,One to five years ago,Once a week,Projects involving 1-4 other collaborators ,Always,Involved through research/academia ,,"C++,CSS,HTML,Javascript,Python,Shell,TypeScript",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,747,,1,
3/7/19 19:26,3/7/19 19:33,IP Address,108.17.59.128,100,407,TRUE,3/7/19 19:33,R_3GCm77tXaK16hiA,,,,,42.96850586,-78.74919891,anonymous,EN,Yes,30,Yes,Male,,4,2.2,0,2.3,1.2,-1.8,2.8,1,2.6,2.5,0.3,-1.2,3.8,-1,2.7,2.4,0.4,1.7,-3.4,3.6,2.5,1.8,1.4,2.1,0,-1.1,1.7,0.1,0,2.4,3.3,1.7,1.3,0,0,0.1,3.5,1.1,-0.4,2,-0.3,1.5,2.4,2.5,2.8,-0.3,0.7,-0.9,1.8,0,0,2.1,-2,0.6,-0.7,1.9,0.1,3.2,2.8,-0.2,4,-4,4,More than five years ago,Once a week,Projects involving 1-4 other collaborators ,Always,Involved through research/academia ,,"C++,Python,R,9",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,407,,4,Speeder
3/7/19 19:47,3/7/19 19:56,IP Address,69.207.27.110,100,570,TRUE,3/7/19 19:56,R_UgRNeOPZvAEJhWV,,,,,42.94909668,-78.89779663,anonymous,EN,Yes,24,Yes,Male,,3,-3.8,0,0,2.6,-2.8,2.4,2,0.1,2.5,2,1.5,2.1,2.1,2.8,3,2.2,0.1,-2.7,2.6,2.6,3,1.9,-1.7,1.9,2.7,1.9,2,2,2,3.2,2.9,2.8,-2.3,2.7,2.3,2,1,1.1,2.6,3.3,2.1,3,3.5,3,2.8,2.1,0.1,0.4,0,0,1,0.5,-1.8,3,2.6,2.1,2,-2.8,-2,4,-4,4,One to five years ago,Once a week,Projects involving 1-4 other collaborators ,Always,"Involved through research/academia ,Employed working on coding for a company",,"C,Java,Python,Shell",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,570,,4,Speeder
3/7/19 20:06,3/7/19 20:16,IP Address,38.95.253.166,100,570,TRUE,3/7/19 20:16,R_3KwIPcmKEDT8KPU,,,,,42.7684021,-78.88710022,anonymous,EN,Yes,25,Yes,Male,,0.9,2,2,2,-1,-1.1,2.1,1,2.1,1.8,1.3,1.4,1.1,-1,0.9,2.1,1.9,2.1,-1,1,1,1,1,1.1,2.1,-0.9,1.4,2.1,1,1,0.1,1,1.1,-1.1,1,1,1.3,-0.1,-1,2.1,2,1.6,1.9,1.9,1.8,1,1.1,1.1,0,0,0.9,1,1,-0.9,2.6,2.3,2.3,2,1,-1,4,-4,4,Six months to one year ago,Less than once a month,Projects involving 1-4 other collaborators ,Always,Involved through research/academia ,,"Python,R",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,570,,4,Speeder
3/7/19 21:48,3/7/19 22:01,IP Address,98.5.149.9,100,795,TRUE,3/7/19 22:01,R_1r6XADqzfzTJwXy,,,,,42.96850586,-78.74919891,anonymous,EN,Yes,23,Yes,Female,,2.5,,0,3,2,-0.8,3,2.1,2,1.2,1.3,1.3,3,-0.6,-0.9,2.9,-1,-1.1,-1.9,1.2,1.3,1.7,1.7,1,-1.1,1,1.5,-1,-0.9,0.6,2.6,2.3,2,-2.6,1.6,1.5,1.3,0.8,0.7,1.1,1.2,1.2,1.6,1.8,2.3,1.1,2,1.2,1.1,-0.9,0.5,1,0.6,1.4,3,2,0.5,1.4,0.9,1.1,4,-4,4,One to five years ago,Once a month,Projects involving 1-4 other collaborators ,Sometimes,"Involved through research/academia ,Employed working on coding for a company,Pursue coding as a hobby ",,"C,C++,Java,Python,R,9",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,795,,1,
3/8/19 12:14,3/8/19 12:24,IP Address,98.5.248.217,100,597,TRUE,3/8/19 12:24,R_SPheplaJe8L4Nbz,,,,,42.9499054,-78.85990143,anonymous,EN,Yes,22,Yes,Female,,-4,-3.8,0,-3.4,-1,-2.1,1.8,3.1,1.9,2,1.5,0,1.9,2.2,-1.1,3,1.3,-1.6,-2,1.8,1.8,2.1,0,-2.6,1.4,1.5,-1.1,2,1.9,1.9,2,2.6,2.9,1.1,1.5,-1.7,3,3.3,3.4,1.9,1.9,0.5,2.7,3,2.7,2.9,3,0,0.1,1,0,1.1,-1.1,1.4,1.8,1.9,1.7,2,-1.6,-1.6,4,-4,4,One to five years ago,Once a week,Projects involving 1-4 other collaborators ,Always,"Involved through research/academia ,Employed working on coding for a company,Pursue other freelance coding ,Pursue coding as a hobby ",,"C,C++,CSS,HTML,Java,PHP,Python,R",,Qual1922-0907GitHub,,,,{Invalid Expression},,,,H,597,,4,Speeder
